Building Id,Building,Construction_year,Heated_ground_surface_m2,Annual_Heating_consumption_kWh, Annual_Electric_consumption_kWh
1,BI,1,4496,345679,413651
2,BS,1,10267,509183,350860
3,CE,1,16655,1003313,1200597
4,CH,1,28986,3217870,4717985
5,CM,1,18663,1251411,1354652
6,GC,1,26586,1465755,1978120
7,GR,1,9997,649081,813804
8,MA,1,14018,889271,5531370
9,ME,1,17151,1126830,3118001
10,PH,1,23581,3036870,4433829
11,BC,2,17480,418491,1603596
12,CO,2,11901,477008,943652.5
13,BP,2,10442,457861,691031.5
14,TCV,2,6095,318209,2067675
15,IN,2,24073,1260041,1889430
16,ODY,2,4092,253199,81410
17,AASG,2,18389,1306603,1231933.5
18,EL,2,22127,1728630,1447090
19,PO,2,692,64607,0
20,CRPPhb,2,10831,928960,1608750
21,MX,2,25868,2600901,2832408
22,BM,2,19697,2121607,2411721
23,DIA,2,847,105136,0
24,AI,2,17674,2768898,3898106
