Name,FloorArea,specElec,k_th,k_sun,specQ_people
BI,4496.0,0.025179043781786446,0.00480699068897668,0.11520632704253696,0.006929818181818183
BS,10267.0,0.009352371590946472,0.0029814950244366205,0.07455407676223201,0.006929818181818183
CE,16655.0,0.019728046085461793,0.003828425092578677,0.08900114837654831,0.006929818181818183
CH,28986.0,0.04454507811955044,0.007074626661074582,0.1661323360877313,0.006929818181818183
CM,18663.0,0.01986450481813795,0.004161943008891013,0.10043729096928652,0.006929818181818183
GC,26586.0,0.02036249968140489,0.003601529246374417,0.08016272094567507,0.006929818181818183
GR,9997.0,0.02227827625791843,0.004136506963920914,0.09603761688720748,0.006929818181818183
MA,14018.0,0.1079886498264839,0.006683808066643622,0.060180287605305145,0.006929818181818183
ME,17151.0,0.04975288398291781,0.005042664920926866,0.08766973209569737,0.006929818181818183
PH,23581.0,0.05145744023551844,0.008153469600774753,0.19370920027274025,0.006929818181818183
BC,17480.0,0.025106431746532758,0.0022218212663391544,0.025128856873333636,0.006929818181818183
CO,11901.0,0.021700018125267815,0.002912332342617906,0.0541739632656637,0.006929818181818183
BP,10442.0,0.01811113270719371,0.0029825547333743904,0.061845939676172954,0.006929818181818183
TCV,6095.0,0.09284104578438547,0.005663159275831449,0.04661683313940562,0.006929818181818183
IN,24073.0,0.021479889746956728,0.0035018841857390112,0.07506067866688976,0.006929818181818183
ODY,4092.0,0.005444695377954554,0.003447780046653702,0.09650650154624839,0.006929818181818183
AASG,18389.0,0.01833414278776104,0.004305868605056732,0.10768497749471782,0.006929818181818183
EL,22127.0,0.017897998341613024,0.004632654900150177,0.11971949881881548,0.006929818181818183
PO,692.0,,0.004785373188987765,0.15109089695973685,0.006929818181818183
CRPPhb,10831.0,0.040649149290055496,0.005730495116229826,0.12491163897089426,0.006929818181818183
MX,25868.0,0.029965699294866484,0.00610172398767487,0.15340765605847767,0.006929818181818183
BM,19697.0,0.03350876618204218,0.006561138226249502,0.16427862166405072,0.006929818181818183
DIA,847.0,,0.006263958214886235,0.2026710464979536,0.006929818181818183
AI,17674.0,0.060360141736252385,0.00978358936249672,0.23762105315888535,0.006929818181818183
