Period,R290_LT,R290_MT,R600_LT,R600_MT,R600a_LT,R600a_MT,R717_LT,R717_MT,R1234yf_LT,R1234yf_MT,R1234ze_LT,R1234ze_MT,R1270_LT,R1270_MT
1,6.83,4.95,13.71,9.40,12.64,11.80,12.63,11.53,13.91,9.75,12.72,9.62,11.96,8.04
2,7.29,7.16,11.23,13.47,12.11,12.38,12.23,12.36,12.45,11.51,13.99,11.30,10.55,9.80
3,2.20,6.43,7.68,2.20,10.08,12.49,8.78,13.17,10.49,12.89,10.90,12.39,2.20,11.43
4,15.00,2.27,15.00,15.00,15.00,9.22,15.00,10.04,15.00,10.02,15.00,8.17,15.00,2.20
5,6.09,11.20,7.26,2.86,10.26,12.82,9.89,13.49,10.75,14.06,9.37,12.69,3.64,12.25
6,2.99,3.73,2.20,,7.23,9.22,6.90,9.78,6.96,11.26,7.69,9.53,6.71,15.00
7,4.41,10.95,,,2.20,2.20,2.20,2.72,2.20,2.20,2.20,2.20,8.03,12.07
8,3.81,2.20,,,11.15,15.00,11.35,15.00,13.10,14.98,12.91,15.00,9.99,7.66
9,13.90,9.55,,,14.66,9.57,13.93,10.06,14.32,11.78,14.46,9.16,,
10,5.82,15.00,,,12.10,12.56,11.06,13.39,11.54,15.00,12.21,13.11,,
11,,,,,,,12.13,2.20,,,14.29,9.00,,
