Hours,Temp,Irr,Type
0,9.1,0,B
1,9.3,0,B
2,9.1,0,B
3,9.0,0,B
4,8.8,0,B
5,8.7,0,B
6,8.7,0,B
7,8.6,0,A
8,8.7,2,A
9,9.4,41,A
10,10.1,76,A
11,10.7,104,A
12,11.2,128,A
13,11.5,116,A
14,11.6,87,A
15,11.3,49,A
16,10.8,3,A
17,10.4,0,A
18,9.9,0,A
19,9.6,0,A
20,9.3,0,A
21,8.9,0,A
22,8.5,0,B
23,8.1,0,B
24,7.1,0,B
25,6.0,0,B
26,4.9,0,B
27,4.3,0,B
28,3.7,0,B
29,3.1,0,B
30,2.7,0,B
31,2.2,0,A
32,2.2,2,A
33,3.7,104,A
34,4.9,176,A
35,6.0,252,A
36,6.9,301,A
37,7.4,279,A
38,7.7,272,A
39,7.2,134,A
40,6.0,14,A
41,5.5,0,A
42,4.9,0,A
43,4.4,0,A
44,3.8,0,A
45,3.3,0,A
46,2.7,0,B
47,2.2,0,B
48,2.1,0,B
49,2.0,0,B
50,1.9,0,B
51,1.9,0,B
52,1.8,0,B
53,1.8,0,B
54,1.8,0,B
55,1.8,0,A
56,2.1,5,A
57,4.0,97,A
58,5.9,181,A
59,7.6,252,A
60,8.8,272,A
61,9.5,257,A
62,9.5,174,A
63,8.8,93,A
64,7.6,3,A
65,7.1,0,A
66,6.6,0,A
67,6.2,0,A
68,5.7,0,A
69,5.2,0,A
70,4.7,0,B
71,4.2,0,B
72,3.5,0,B
73,2.8,0,B
74,2.1,0,B
75,1.7,0,B
76,1.4,0,B
77,1.0,0,B
78,0.7,0,B
79,0.4,0,A
80,0.5,2,A
81,2.2,104,A
82,3.4,160,A
83,4.5,216,A
84,5.4,265,A
85,6.5,343,A
86,6.6,218,A
87,6.0,112,A
88,4.9,16,A
89,4.4,0,A
90,3.8,0,A
91,3.3,0,A
92,2.7,0,A
93,2.2,0,A
94,1.6,0,B
95,1.1,0,B
96,0.7,0,B
97,0.3,0,B
98,-0.1,0,B
99,-0.3,0,B
100,-0.5,0,B
101,-0.7,0,B
102,-0.9,0,B
103,-1.0,0,A
104,-0.7,8,A
105,1.2,105,A
106,3.1,200,A
107,5.0,300,A
108,6.2,301,A
109,6.5,233,A
110,6.6,206,A
111,6.0,129,A
112,4.7,16,A
113,4.3,0,A
114,3.8,0,A
115,3.3,0,A
116,2.8,0,A
117,2.4,0,A
118,1.9,0,B
119,1.4,0,B
120,1.0,0,B
121,0.5,0,B
122,0.0,0,B
123,-0.2,0,B
124,-0.5,0,B
125,-0.7,0,B
126,-0.9,0,B
127,-1.0,0,B
128,-1.0,2,B
129,0.4,79,B
130,1.7,155,B
131,3.0,219,B
132,3.8,234,B
133,4.3,214,B
134,4.3,161,B
135,3.7,83,B
136,2.8,4,B
137,2.4,0,B
138,2.0,0,B
139,1.6,0,B
140,1.2,0,B
141,0.8,0,B
142,0.4,0,B
143,0.0,0,B
144,-0.3,0,B
145,-0.6,0,B
146,-0.8,0,B
147,-1.0,0,B
148,-1.1,0,B
149,-1.2,0,B
150,-1.3,0,B
151,-1.4,0,B
152,-1.3,2,B
153,0.7,95,B
154,2.6,182,B
155,4.3,260,B
156,5.5,275,B
157,6.4,289,B
158,6.7,229,B
159,6.3,146,B
160,5.1,21,B
161,4.4,0,B
162,3.8,0,B
